Pathways	Ontology - direct parents of entity	Ontology - pathway type
THISYN-PWY	Super-Pathways // Thiamine-Biosynthesis	Cofactor-Biosynthesis // Super-Pathways
PWY-6109	TRITERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6181	AMINE-DEG	AMINE-DEG
PWY-8119	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
ARGASEDEG-PWY	ARGININE-DEG // GLUTAMATE-SYN	Amino-Acid-Biosynthesis // Amino-Acid-Degradation
PWY-5103	ISOLEUCINE-SYN	Amino-Acid-Biosynthesis
PWY-6148	C1-Carrier-Biosynthesis	Cofactor-Biosynthesis
PWY-7755	Iso-bile-Acids-Biosynthesis	Lipid-Biosynthesis
PWY-5026	Auxin-Biosynthesis	HORMONE-SYN
PWY-7351	Opine-Biosynthesis // Pyruvate-Degradation	SECONDARY-METABOLITE-BIOSYNTHESIS // Energy-Metabolism
PWY-8410	Icosanoid-Metabolism	Lipid-Biosynthesis
PWY-8566	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis
PWY-8022	SECONDARY-METABOLITE-DEGRADATION	SECONDARY-METABOLITE-DEGRADATION
PWY-6520	All-Trans-Polyprenyl-Biosynthesis	Polyprenyl-Biosynthesis
PWY-3121	CYANOGENIC-GLUCOSIDE-DEG	SECONDARY-METABOLITE-DEGRADATION
POLYAMSYN-PWY	Polyamine-Biosynthesis // Super-Pathways	Polyamine-Biosynthesis // Super-Pathways
PWY-6861	Visual-Cycle	Cofactor-Biosynthesis
PWY-6565	Polyamine-Biosynthesis // Super-Pathways	Polyamine-Biosynthesis // Super-Pathways
PWY-7895	Activation	Activation
PWY-8261	Roxarsone-Degradation	Arsenic-Detoxification
PWY-7975	Adenosylcobamide-Biosynthesis	Cofactor-Biosynthesis
PWY-6587	Pyruvate-Ethanol-Fermentation	Energy-Metabolism
PWY-7984	Siderophores-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7547	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2345	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN // Interconversion	Interconversion // AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
P581-PWY	Thiocyanate-Degradation	Other-Degradation
PWY-6801	Metabolic-Clusters // PHENYLPROPANOID-SYN	Metabolic-Clusters // AROMATIC-COMPOUNDS-BIOSYN
PWY-6111	Fatty-Acid-and-Lipid-Degradation	Fatty-Acid-and-Lipid-Degradation
PWY-6365	Cyclitols-Biosynthesis	Cyclitols-Biosynthesis
PWY-5382	Hydrogen-Oxidation	Energy-Metabolism
PWY-6046	Dimethylsulfoniopropionate-Degradation	Noncarbon-Nutrients
PWY-5107	DITERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6677	Thiosulfate-Oxidation	Noncarbon-Nutrients
PWY0-1609	Polysaccharides-Biosynthesis	Carbohydrates-Biosynthesis // Glycan-Pathways
PWY-5082	METHIONINE-DEG	Amino-Acid-Degradation
PWY-5133	TERPENOPHENOLICS-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7759	Chlorophyll-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS // Tetrapyrrole-Biosynthesis
PWY-7113	PHENYLPROPANOID-DERIVATIVE-DEG	AROMATIC-COMPOUNDS-DEGRADATION
PWY-6134	TYROSINE-SYN	Amino-Acid-Biosynthesis
PWY-8105	Queuosine-Biosynthesis	Nucleic-Acid-Processing
PWY-5529	Chlorophyll-a-Biosynthesis // Super-Pathways	SECONDARY-METABOLITE-BIOSYNTHESIS // Tetrapyrrole-Biosynthesis // Super-Pathways
PWY-5658	Mannosylglycerate-Biosynthesis	Metabolic-Regulators
PWY-762	Phospholipid-Biosynthesis	Lipid-Biosynthesis
PWY-8036	Antibiotic-Biosynthesis // POLYKETIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5989	Stearate-Biosynthesis	Lipid-Biosynthesis
PWY-5284	ANTHOCYANIN-SYN	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2541	Sterol-Biosynthesis // TRITERPENOID-SYN	Lipid-Biosynthesis // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5992	TRITERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-2724	Hydrocarbon-Degradation	Hydrocarbon-Degradation
PWY-6167	Flavin-Biosynthesis	Cofactor-Biosynthesis
PWY-6420	Enzyme-Cofactor-Biosynthesis	Cofactor-Biosynthesis
PWY-7059	INDOLE-ALKALOIDS	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7931	Halogenated-Aromatics-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN
PWY-6915	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PHOSLIPSYN2-PWY	Phospholipid-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Super-Pathways
PWY-40	Putrescine-Biosynthesis	Polyamine-Biosynthesis
PWY66-380	Hormone-Biosynthesis	HORMONE-SYN
PWY-5990	CYANOGENIC-GLUCOSIDE-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6392	Butanediol-Biosynthesis	Other-biosynthesis
PWY-7224	Metabolic-Clusters // Purine-Nucleotides-Salvage	Metabolic-Clusters // Nucleotide-Biosynthesis
HOMOSERSYN-PWY	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis
DTDPRHAMSYN-PWY	dTDP-Sugar-Biosynthesis	Carbohydrates-Biosynthesis
PWY-8295	NON-PROTEIN-AMINO-ACID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7994	DITERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-681	AROMATIC-COMPOUNDS-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION
PWY-7449	ANTHOCYANIN-SYN	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY3DJ-11281	Lipid-Biosynthesis	Lipid-Biosynthesis
PWY-2261	REACTIVE-OXYGEN-SPECIES-DEGRADATION	REACTIVE-OXYGEN-SPECIES-DEGRADATION
PWY-7213	FLAVONE-SYN	AROMATIC-COMPOUNDS-BIOSYN
PWY-8264	Arsenate-Detoxification	Arsenic-Detoxification
PWY-8100	ALKALOIDS-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-5154	ARGININE-SYN	Amino-Acid-Biosynthesis
PWY-8025	Cyanurate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION
PWY-2561	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN // Interconversion	Interconversion // AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7248	Pectin-Degradation	Polymer-Degradation // Carbohydrates-Degradation
P344-PWY	Acrylonitrile-Degradation // Super-Pathways	Other-Degradation // Super-Pathways
PWY-6192	Dichlorotoluene-Degradation	AROMATIC-COMPOUNDS-DEGRADATION // CHLORINATED-COMPOUNDS-DEG
PWY-8360	Toxin-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7812	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6936	Other-Amino-Acid-Biosynthesis	Amino-Acid-Biosynthesis
PWY-6271	SESQUITERPENOID-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6666	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY66-391	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation
PWY-7212	FLAVONE-SYN	AROMATIC-COMPOUNDS-BIOSYN
PWY-7923	Nucleic-Acid-Processing	Nucleic-Acid-Processing
PWY-8065	AROMATIC-COMPOUNDS-DEGRADATION	AROMATIC-COMPOUNDS-DEGRADATION
PWY-5292	INDOLE-ALKALOIDS // TERPENOID-ALKALOIDS	SECONDARY-METABOLITE-BIOSYNTHESIS
REDCITCYC	TCA-VARIANTS	Energy-Metabolism
PWY-8477	ALKALOIDS-SYN	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7196	Pyrimidine-Nucleotide-Salvage // Super-Pathways	Nucleotide-Biosynthesis // Super-Pathways
PYRIDOXSYN-PWY	Vitamin-B6-Biosynthesis	Cofactor-Biosynthesis
P241-PWY	Electron-Carrier-Biosynthesis	Cofactor-Biosynthesis
PWY-7466	Acetone-Degradation	Other-Degradation
PWY-2467	ISOFLAVONOID-PHYTOALEXINS // ISOFLAVONOID-SYN	AROMATIC-COMPOUNDS-BIOSYN // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7372	Demethylmenaquinol-6-Biosynthesis	Cofactor-Biosynthesis
GLUCUROCAT-PWY	D-Glucuronate-Degradation // Super-Pathways	CARBOXYLATES-DEG // Carbohydrates-Degradation // Super-Pathways
PWY-6293	CYSTEINE-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Super-Pathways
PWY-5537	Pyruvate-Acetate-Fermentation // Super-Pathways	Energy-Metabolism // Super-Pathways
PWY-5976	CYANOGENIC-GLUCOSIDE-DEG	SECONDARY-METABOLITE-DEGRADATION
PWY-6430	Pyrimidine-Base-Degradation	NUCLEO-DEG
PWY-7387	NITROGEN-DEG // Sulfur-Metabolism	Noncarbon-Nutrients
PWY66-397	Specialized-Proresolving-Mediators-Biosysthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-8356	Specialized-Proresolving-Mediators-Biosysthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-6141	Archaeal-Lipid-Biosynthesis // Phospholipid-Biosynthesis // Super-Pathways	Lipid-Biosynthesis // Super-Pathways
PWY1-2	ALANINE-DEG	Amino-Acid-Degradation
PWY-6425	Rotenoids-Biosynthesis	AROMATIC-COMPOUNDS-BIOSYN
PWY-5675	Nitrate-Reduction	Noncarbon-Nutrients
COMPLETE-ARO-PWY	IND-AMINO-ACID-SYN // Super-Pathways	Amino-Acid-Biosynthesis // Super-Pathways
ALANINE-SYN2-PWY	ALANINE-SYN	Amino-Acid-Biosynthesis
NADSYN-PWY	NAD-SYN // Super-Pathways	Cofactor-Biosynthesis // Super-Pathways
PWY-7811	Antibiotic-Biosynthesis	SECONDARY-METABOLITE-BIOSYNTHESIS
FUCCAT-PWY	L-Fucose-Degradation	Carbohydrates-Degradation
PWY-8561	Nickel-Pincer-Cofactor-Biosynthesis	Cofactor-Biosynthesis
PWY-5349	COUMARIN-SYN	AROMATIC-COMPOUNDS-BIOSYN
PWY-7338	Fatty-Acid-Degradation	Fatty-Acid-and-Lipid-Degradation
SPHINGOLIPID-SYN-PWY	Sphingolipid-Biosynthesis	Lipid-Biosynthesis
PWY-5039	PURINE-ALKALOIDS	SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-8155	Steroids-Degradation	Fatty-Acid-and-Lipid-Degradation
ASPARTATESYN-PWY	ASPARTATE-SYN	Amino-Acid-Biosynthesis
PWY66-430	Fatty-acid-biosynthesis	Lipid-Biosynthesis
PWY-8324	Sugars-And-Polysaccharides-Degradation	Carbohydrates-Degradation
